type	geneStart	geneEnd	tag	description
CDS	1	1233	HFX_5001	cell division control protein cdc6-like protein
CDS	1815	2201	HFX_5002	hypothetical protein
CDS	2198	3061	HFX_5003	ParA domain-containing protein
CDS	3830	4525	HFX_5004	hypothetical protein
CDS	4663	6465	HFX_5005	spermidine synthase
CDS	6468	7088	HFX_5006	hypothetical protein
CDS	7085	8038	HFX_5007	hypothetical protein
CDS	8191	8373	HFX_5009	hypothetical protein
CDS	8252	10558	HFX_5008	hypothetical protein
CDS	10670	11386	HFX_5010	bacterio-opsin activator
CDS	11451	12206	HFX_5011	aspartate racemase
CDS	12378	12572	HFX_5012	N-ethylammeline chlorohydrolase
CDS	12685	14274	HFX_5013	hypothetical protein
CDS	14293	15168	HFX_5014	ABC-type transport system ATP-binding protein
CDS	16076	17266	HFX_5015	glycerol-3-phosphate ABC-type transporter ATP-binding protein
CDS	17270	18178	HFX_5016	glycerol--phosphate ABC transporter permease
CDS	18182	19075	HFX_5017	glycerol--phosphate ABC transporter permease
CDS	19162	20580	HFX_5018	glycerol-3-phosphate ABC transporter periplasmic substrate-binding protein
CDS	21697	21924	HFX_5019	hypothetical protein
CDS	21921	22076	HFX_5020	hypothetical protein
CDS	22149	24296	HFX_5021	G8 domain-containing protein
CDS	24399	24830	HFX_5022	hypothetical protein
CDS	25195	25350	HFX_5023	hypothetical protein
CDS	25225	25395	HFX_5024	hypothetical protein
CDS	25887	27017	HFX_5025	sugar ABC transporter ATP-binding protein (UGPC)
CDS	27187	28413	HFX_5026	L-seryl-tRNA(Ser) seleniumtransferase
CDS	28463	29170	HFX_5027	putative LmbE-like protein
CDS	29217	29591	HFX_5028	translation initiation inhibitor
CDS	29689	31281	HFX_5029	beta-D-glucosidase
CDS	31378	32289	HFX_5030	sugar ABC transporter permease protein
CDS	32291	33268	HFX_5031	sugar ABC transport system permease protein
CDS	33420	34736	HFX_5032	putative extracellular solute binding protein
CDS	34888	36039	HFX_5033	mandelate racemase/muconate lactonizing family protein / galactonate dehydratase
CDS	36106	36849	HFX_5034	transcriptional regulator
CDS	36868	37938	HFX_5035	glucose 1-dehydrogenase
CDS	38265	39683	HFX_5036	chitinase
CDS	39738	41180	HFX_5037	chitinase
CDS	41177	42889	HFX_5038	chitinase
CDS	43188	44840	HFX_5039	chitinase
CDS	45784	47613	HFX_5040	siderophore biosynthesis protein
CDS	47610	49010	HFX_5041	siderophore biosynthesis protein (lysine 6-monooxygenase)
CDS	49003	49602	HFX_5042	siderophore biosynthesis protein (malonyl-CoA decarboxylase-like protein)
CDS	49599	51398	HFX_5043	siderophore biosynthesis protein
