type	geneStart	geneEnd	tag	description
CDS	1	1617	HFX_0001	cell division control protein cdc6-like protein
CDS	1777	2652	HFX_0002	signal sequence peptidase
CDS	2732	4288	HFX_0003	DNA polymerase II small subunit
CDS	4398	5525	HFX_0004	FMN oxidoreductase protein
CDS	5603	6442	HFX_0005	zinc transporter
CDS	6580	7008	HFX_0006	hypothetical protein
CDS	7194	8372	HFX_0007	aspartate kinase
CDS	8741	10087	HFX_0008	tryptophanase
CDS	10149	10808	HFX_0009	DNA repair protein
CDS	10878	11450	HFX_0010	IMP cyclohydrolase
tRNA	11583	11655	HFX_0011	tRNA-Gln
CDS	11887	12381	HFX_0012	hypothetical protein
CDS	12378	14927	HFX_0013	ski2-like helicase
CDS	15047	15292	HFX_0014	ferredoxin III
CDS	15571	16383	HFX_0015	hypothetical protein
CDS	16444	17022	HFX_0016	hypothetical protein
CDS	17186	17644	HFX_0017	hypothetical protein
CDS	17766	18446	HFX_0018	24-sterol C-methyltransferase
CDS	18478	19575	HFX_0019	thiamine ABC transporter ATP-binding protein
CDS	19691	21403	HFX_0020	thiamine ABC transporter permease
CDS	21405	22541	HFX_0021	thiamine-binding periplasmic protein precursor-like protein
CDS	22684	23460	HFX_0022	thiosulfate sulfurtransferase
CDS	23712	24572	HFX_0023	thiosulfate sulfurtransferase
CDS	24640	26115	HFX_0024	short chain fatty acids transporter
CDS	26297	26896	HFX_0025	hypothetical protein
CDS	27310	27579	HFX_0026	hypothetical protein
CDS	27668	29752	HFX_0027	excinuclease ABC subunit B
CDS	30290	31375	HFX_0028	hypothetical protein
CDS	31492	31932	HFX_0029	stress response protein
CDS	32247	34712	HFX_0030	ribonucleoside-diphosphate reductase alpha chain
CDS	34803	35795	HFX_0031	ribonucleoside-diphosphate reductase beta chain
CDS	35823	36317	HFX_0032	acyl-CoA thioester hydrolase
CDS	36426	37643	HFX_0033	"SPFH domain, Band 7 family protein"
CDS	37720	37914	HFX_0034	hypothetical protein
CDS	37911	38267	HFX_0036	hypothetical protein
CDS	37980	38477	HFX_0035	hypothetical protein
CDS	38509	39885	HFX_0037	unspecific monooxygenase (cytochrome P450)
CDS	40027	40617	HFX_0038	hypothetical protein
CDS	40653	42857	HFX_0039	DNA repair helicase-like protein
CDS	43004	43468	HFX_0040	hypothetical protein
CDS	43496	44395	HFX_0041	ornithine carbamoyltransferase
CDS	44433	45596	HFX_0042	acetyl-lysine deacetylase
CDS	45593	46729	HFX_0043	acetylornithine aminotransferase
CDS	46726	47664	HFX_0044	acetylglutamate kinase
CDS	47723	48766	HFX_0045	N-acetyl-gamma-glutamyl-phosphate reductase
CDS	48763	49638	HFX_0047	L-2-aminoadipate N-acetyltransferase
CDS	49641	49820	HFX_0048	Arg cluster protein
CDS	50140	51606	HFX_0049	argininosuccinate lyase
CDS	51608	52825	HFX_0050	argininosuccinate synthase
CDS	53241	54203	HFX_0051	Na+/Ca2+-antiporter-like protein
CDS	54237	55445	HFX_0052	sodium/protn antiporter putative
CDS	55445	55939	HFX_0053	C-terminal domain of K+ channel-like predicted regulatory ligand binding protein
CDS	56030	56632	HFX_0054	dolichol kinase-like protein
CDS	56640	58424	HFX_0055	glycyl-tRNA synthetase
CDS	58417	59271	HFX_0056	putative inosine monophosphate dehydrogenase
CDS	59405	59965	HFX_0057	hypothetical protein
CDS	60032	60436	HFX_0058	hypothetical protein
CDS	60436	61803	HFX_0059	dipeptide/oligopeptide/nickel ABC transporter ATP-binding protein
CDS	61800	62852	HFX_0060	oligopeptide ABC transporter ATPase component
