type	geneStart	geneEnd	tag	description
CDS	258	1952	HVO_0001	Orc1-type DNA replication protein
CDS	2000	2863	HVO_0002	signal peptidase I
CDS	2942	4543	HVO_0003	DNA-directed DNA polymerase D exonuclease subunit DP1
CDS	4686	5813	HVO_0004	NamA family oxidoreductase
CDS	5936	6745	HVO_0005	GufA family transport protein (probable substrate zinc)
CDS	6854	7282	HVO_0006	uncharacterized protein
CDS	7470	8648	HVO_0008	aspartate kinase
CDS	8873	10219	HVO_0009	tryptophanase
CDS	10248	10907	HVO_0010	MJ0936 family phosphoesterase
CDS	10956	11528	HVO_0011	"inosine-5'-monophosphate cyclohydrolase, archaeal-type"
CDS	11897	12391	HVO_0013	KEOPS complex subunit Cgi121
CDS	12388	14871	HVO_0014	ATP-dependent DNA helicase Hel308a
CDS	14980	15225	HVO_0015	ferredoxin (4Fe-4S)
CDS	15479	16336	HVO_0016	uncharacterized protein
CDS	16358	16936	HVO_0017	uncharacterized protein
CDS	17030	17488	HVO_0018	DUF2391 family protein
CDS	17615	18295	HVO_0019	putative S-adenosylmethionine-dependent methyltransferase (homolog to 24-sterol C-methyltransferase)
CDS	18323	19408	HVO_0020	ABC-type transport system ATP-binding protein (probable substrate thiamine)
CDS	19512	21233	HVO_0021	ABC-type transport system permease protein (probable substrate thiamine)
CDS	21243	22379	HVO_0022	ABC-type transport system periplasmic substrate-binding protein (probable substrate thiamine)
CDS	22510	23400	HVO_0023	UPF0118 family membrane protein
CDS	23410	24186	HVO_0024	thiosulfate sulfurtransferase
CDS	24438	25298	HVO_0025	thiosulfate sulfurtransferase
CDS	25352	26794	HVO_0026	AtoE family transport protein
CDS	26974	27573	HVO_0027	uncharacterized protein
CDS	27832	28101	HVO_0028	uncharacterized protein
CDS	28190	30286	HVO_0029	UvrABC system protein B
CDS	30293	30712	HVO_0030	NUDIX family hydrolase
CDS	30936	31106	HVO_0031	uncharacterized protein
CDS	31121	32206	HVO_0032	UPF0721 family protein
CDS	32276	32716	HVO_0033	UspA domain protein
CDS	32744	33238	HVO_0034	acyl-CoA thioester hydrolase
CDS	33689	34879	HVO_0035	stomatin family protein
CDS	34980	35174	HVO_0036	uncharacterized protein
CDS	35225	35722	HVO_0037	uncharacterized protein
CDS	35776	37152	HVO_0038	cytochrome P450
CDS	37234	39438	HVO_0039	DNA repair helicase Rad3
CDS	39586	40056	HVO_0040	uncharacterized protein
CDS	40093	40992	HVO_0041	ornithine carbamoyltransferase
CDS	41076	42221	HVO_0042	acetylornithine deacetylase
CDS	42218	43354	HVO_0043	acetylornithine aminotransferase
CDS	43351	44334	HVO_0044	acetylglutamate kinase
CDS	44389	45432	HVO_0045	N-acetyl-gamma-glutamyl-phosphate reductase
CDS	45429	46304	HVO_0046	putative glutamate--argW ligase
CDS	46306	46485	HVO_0047	putative biosynthetic carrier protein ArgW
CDS	46806	48272	HVO_0048	argininosuccinate lyase
CDS	48274	49491	HVO_0049	argininosuccinate synthase
CDS	49766	49882	HVO_0050	uncharacterized protein
CDS	49976	51190	HVO_0051	Kef-type transport system (probable substrate potassium)
CDS	51190	51675	HVO_0052	TrkA-C domain protein
CDS	51719	52321	HVO_0053	uncharacterized protein
CDS	52328	54112	HVO_0054	glycine--tRNA ligase
CDS	54105	54959	HVO_0055	CBS domain protein
CDS	55092	55670	HVO_0056	uncharacterized protein
CDS	55732	56178	HVO_0057	uncharacterized protein
CDS	56181	57515	HVO_0058	ABC-type transport system ATP-binding protein (probable substrate dipeptide/oligopeptide)
CDS	57512	58591	HVO_0059	ABC-type transport system ATP-binding protein (probable substrate dipeptide/oligopeptide)
CDS	58588	60027	HVO_0060	ABC-type transport system permease protein (probable substrate dipeptide/oligopeptide)
CDS	60034	61083	HVO_0061	ABC-type transport system permease protein (probable substrate dipeptide/oligopeptide)
CDS	61296	63134	HVO_0062	ABC-type transport system periplasmic substrate-binding protein (probable substrate dipeptide/oligopeptide)
CDS	63370	63537	HVO_0063	uncharacterized protein
CDS	63622	64041	HVO_0064	DUF296 family protein
CDS	64044	67652	HVO_0065	DNA-directed DNA polymerase D large subunit
CDS	67810	69072	HVO_0066	PQQ repeat protein
CDS	69249	69536	HVO_0067	small CPxCG-related zinc finger protein
CDS	69607	70503	HVO_0068	2-dehydropantoate 2-reductase
CDS	70535	72082	HVO_0069	sulfatase
CDS	72161	72538	HVO_0070	NifU C-terminal domain protein
CDS	72583	72900	HVO_0071	uncharacterized protein
CDS	73059	73280	HVO_0072	uncharacterized protein
CDS	73836	74666	HVO_0074	polyphosphate kinase domain protein
CDS	74663	76093	HVO_0073	single-stranded-DNA-specific exonuclease RecJ1
CDS	76230	77447	HVO_0075	major facilitator superfamily transport protein
CDS	77449	78192	HVO_0076	uroporphyrinogen-III synthase
CDS	78189	79070	HVO_0077	uroporphyrin-III C-methyltransferase
CDS	79072	80163	HVO_0078	hydroxymethylbilane synthase (porphobilinogen deaminase)
CDS	80270	80659	HVO_0079	uncharacterized protein
CDS	80735	80968	HVO_0080	uncharacterized protein
CDS	81002	82339	HVO_0081	"glutamate-1-semialdehyde 2,1-aminomutase"
CDS	82482	83186	HVO_0082	uncharacterized protein
CDS	83382	83753	HVO_0083	GlnK-type ammonia transport regulator
CDS	83757	85127	HVO_0084	transport protein (probable substrate ammonium)
CDS	85507	85866	HVO_0085	GlnK-type ammonia transport regulator
CDS	85863	87266	HVO_0086	transport protein (probable substrate ammonium)
CDS	87625	88608	HVO_0087	porphobilinogen synthase
CDS	88714	89034	HVO_0088	"YkoX, putative"
CDS	89077	89226	HVO_0089	alkaline phosphatase
CDS	89307	89471	HVO_0090	uncharacterized protein
CDS	89547	90341	HVO_0091	PHP domain protein
CDS	90474	90758	HVO_0092	uncharacterized protein
CDS	90921	91928	HVO_0093	uncharacterized protein
CDS	92094	92270	HVO_0094	uncharacterized protein
CDS	92298	92993	HVO_0095	uncharacterized protein
CDS	93097	94029	HVO_0096	arNOG08307 family NADH-binding domain protein
CDS	94154	95038	HVO_0097	uncharacterized protein
CDS	95156	95359	HVO_0098	uncharacterized protein
CDS	95441	97351	HVO_0099	helicase domain protein
CDS	97756	97950	HVO_0099A	uncharacterized protein
CDS	98087	99214	HVO_0100	NMD3 family protein
CDS	99292	99930	HVO_0101	putative phosphoribosyltransferase
CDS	100055	100936	HVO_0102	HtpX-like protease
CDS	100943	101548	HVO_0103	uncharacterized protein
CDS	101807	102838	HVO_0104	DNA repair and recombination protein RadA
CDS	103089	104234	HVO_0105	FAD-dependent oxidoreductase
CDS	104245	104658	HVO_0106	DUF1641 family protein
CDS	104705	105133	HVO_0107	iron-sulfur cluster assembly protein
CDS	105206	105793	HVO_0108	mechanosensitive channel protein MscS
CDS	105867	107147	HVO_0109	cysteine desulfurase
CDS	107327	108373	HVO_0110	sensor box histidine kinase
CDS	108419	108721	HVO_0111	DUF424 family protein
CDS	108722	109462	HVO_0112	tetratricopeptide repeat protein
CDS	109554	110171	HVO_0113	putative phosphatase (histidine phosphatase family protein)
CDS	110198	110752	HVO_0114	"RNA 2',3'-cyclic phosphodiesterase"
CDS	110903	111055	HVO_0115	50S ribosomal protein L39e
CDS	111059	111337	HVO_0116	50S ribosomal protein L31e
CDS	111341	112006	HVO_0117	translation initiation factor aIF-6
CDS	112088	112264	HVO_0118	50S ribosomal protein L20e
CDS	112261	112734	HVO_0119	prefoldin alpha subunit
CDS	112767	114137	HVO_0120	signal recognition particle receptor FtsY
CDS	114180	114797	HVO_0121	LysE family transport protein
CDS	114831	115805	HVO_0122	putative D-2-hydroxyacid dehydrogenase
CDS	115896	117293	HVO_0123	signal recognition particle 54K protein
CDS	117403	117984	HVO_0124	MgtE family transport protein (probable substrate magnesium)
CDS	117985	118545	HVO_0125	MgtE family transport protein (probable substrate magnesium)
CDS	118620	119639	HVO_0126	uncharacterized protein
CDS	119674	120090	HVO_0127	UPF0201 family protein
CDS	120093	120662	HVO_0128	putative dephospho-CoA kinase
CDS	120802	121179	HVO_0129	DUF307 family protein
tRNA	121223	121296	HVO_3016	tRNA-Arg
CDS	121710	121985	HVO_0131	uncharacterized protein
CDS	122059	122181	HVO_0131A	uncharacterized protein
CDS	122191	122298	HVO_0131B	small CPxCG-related zinc finger protein
CDS	122368	122781	HVO_0132	uncharacterized protein
CDS	123087	124769	HVO_0133	thermosome subunit 1
